Iteration;car_travel;car_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;0;0;0;0;708;0
1;2;0;0;0;689;0
2;2;0;0;0;628;0
3;6;0;0;0;642;0
4;6;0;0;0;575;0
5;8;0;0;0;616;0
6;6;0;0;0;593;0
7;7;0;0;0;619;0
8;7;0;0;0;587;0
9;8;0;0;0;606;0
10;8;0;0;0;581;0
11;9;0;0;0;571;0
12;9;0;0;0;603;0
13;9;0;0;0;617;0
14;9;0;0;0;571;0
15;15;0;0;0;548;0
