pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	0	2	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	1
car interaction---work	1	0	0	0	0	0	0	0	0	0	0	0	0
home---car interaction	0	0	0	0	0	0	0	0	0	0	0	0	2
home---pt interaction	3	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	0	0	0	0	0	0	0	0	0	0	15
pt interaction---home	3	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	3	1	3	1	0	0	0	0	1	1	0	0	0
pt interaction---work	3	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	1	0	0	0	0	0	0	0	0	0	0	0	0
work---home	0	0	0	0	0	0	0	0	0	0	0	0	15
work---pt interaction	3	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 5091.169491525424 seconds = 01:24:51
