route_id,service_id,trip_id,shape_id,direction_id,bikes_allowed
TRA_1007_1_1132,TRA_1007_1_1132_20240902,TRA_1007_1_1132_20240902_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240903,TRA_1007_1_1132_20240903_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240904,TRA_1007_1_1132_20240904_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240905,TRA_1007_1_1132_20240905_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240906,TRA_1007_1_1132_20240906_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240907,TRA_1007_1_1132_20240907_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240908,TRA_1007_1_1132_20240908_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240909,TRA_1007_1_1132_20240909_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240910,TRA_1007_1_1132_20240910_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240911,TRA_1007_1_1132_20240911_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240912,TRA_1007_1_1132_20240912_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240913,TRA_1007_1_1132_20240913_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240914,TRA_1007_1_1132_20240914_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240915,TRA_1007_1_1132_20240915_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240916,TRA_1007_1_1132_20240916_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240917,TRA_1007_1_1132_20240917_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240918,TRA_1007_1_1132_20240918_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240919,TRA_1007_1_1132_20240919_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240920,TRA_1007_1_1132_20240920_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240921,TRA_1007_1_1132_20240921_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240922,TRA_1007_1_1132_20240922_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240923,TRA_1007_1_1132_20240923_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240924,TRA_1007_1_1132_20240924_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240925,TRA_1007_1_1132_20240925_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240926,TRA_1007_1_1132_20240926_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240927,TRA_1007_1_1132_20240927_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240928,TRA_1007_1_1132_20240928_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240929,TRA_1007_1_1132_20240929_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20240930,TRA_1007_1_1132_20240930_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20241001,TRA_1007_1_1132_20241001_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20241002,TRA_1007_1_1132_20241002_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20241003,TRA_1007_1_1132_20241003_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20241004,TRA_1007_1_1132_20241004_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20241005,TRA_1007_1_1132_20241005_063800,TRA_0930_1070_1,1,0
TRA_1007_1_1132,TRA_1007_1_1132_20241006,TRA_1007_1_1132_20241006_063800,TRA_0930_1070_1,1,0
