Iteration;car_travel;car_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;0;0;0;0;0;0;101;0
1;0;0;3;0;0;0;81;0
2;0;0;3;0;0;0;81;0
3;1;0;4;0;0;0;73;0
4;1;0;4;0;0;0;68;0
5;0;0;5;0;0;0;63;0
6;1;0;6;1;0;0;57;0
7;1;0;9;1;0;0;41;0
8;1;0;9;1;0;0;39;0
9;1;0;9;1;0;0;44;0
10;1;0;8;1;0;0;51;0
