pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	0	4	0	0	0	0	0	0	0	0	0	0	0
car interaction---home	0	0	0	0	0	0	0	0	0	0	0	0	2
car interaction---work	1	0	0	0	0	0	0	0	0	0	0	0	1
home---car interaction	0	0	0	0	0	0	0	0	0	0	0	0	3
home---pt interaction	5	0	0	0	0	0	0	0	0	0	0	0	0
home---work	0	0	0	0	0	0	0	0	0	0	0	0	12
pt interaction---home	5	0	0	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	3	1	3	3	0	0	2	0	1	1	0	0	0
pt interaction---work	5	0	0	0	0	0	0	0	0	0	0	0	0
work---car interaction	1	0	0	0	0	0	0	0	0	0	0	0	1
work---home	0	0	0	0	0	0	0	0	0	0	0	0	12
work---pt interaction	5	0	0	0	0	0	0	0	0	0	0	0	0

average leg duration: 3969.2957746478874 seconds = 01:06:09
